indicator,year,sex,total_cases,direct_costs,indirect_costs,total_costs
Chlamydia,2013,Female,979877,404346244.04999995,60331026.89,464677270.93999994
Chlamydia,2013,Male,388910,13246274.600000001,5094721,18340995.6
Chlamydia,2014,Female,991811,409270809.15,61065803.27,470336612.41999996
Chlamydia,2014,Male,413604,14087352.24,5418212.399999999,19505564.64
Chlamydia,2015,Female,1029238,424715060.7,63370183.660000004,488085244.36
Chlamydia,2015,Male,455606,15517940.360000001,5968438.6,21486378.96
Chlamydia,2016,Female,1052787,434432555.54999995,64820095.59,499252651.14
Chlamydia,2016,Male,494869,16855238.14,6482783.899999999,23338022.04
Chlamydia,2017,Female,1108605,457465853.25,68256809.85,525722663.1
Chlamydia,2017,Male,545718,18587155.080000002,7148905.8,25736060.880000003
Gonorrhea,2013,Female,159552,71691500.16,9823616.64,81515116.8
Gonorrhea,2013,Male,153859,13705759.719999999,2015552.9,15721312.62
Gonorrhea,2014,Female,158745,71328890.85,9773929.65,81102820.5
Gonorrhea,2014,Male,169618,15109571.44,2221995.8,17331567.24
Gonorrhea,2015,Female,168993,75933624.69,10404899.01,86338523.7
Gonorrhea,2015,Male,199287,17752485.96,2610659.6999999997,20363145.66
Gonorrhea,2016,Female,191115,85873702.95,11766950.55,97640653.5
Gonorrhea,2016,Male,241111,21478167.88,3158554.1,24636721.98
Gonorrhea,2017,Female,225110,101148676.3,13860022.7,115008699
Gonorrhea,2017,Male,287031,25568721.48,3760106.1,29328827.580000002
