transmission_category,year,race_ethnicity,total_cases
Male-to-male sexual contact,2008,Asian,481
Male-to-male sexual contact,2008,Black/African American,9536
Male-to-male sexual contact,2008,Hispanic/Latino,6169
Male-to-male sexual contact,2008,White,8906
Male-to-male sexual contact,2009,Asian,432
Male-to-male sexual contact,2009,Black/African American,9527
Male-to-male sexual contact,2009,Hispanic/Latino,6144
Male-to-male sexual contact,2009,White,8577
Male-to-male sexual contact,2010,Asian,465
Male-to-male sexual contact,2010,Black/African American,9427
Male-to-male sexual contact,2010,Hispanic/Latino,6194
Male-to-male sexual contact,2010,White,8396
Male-to-male sexual contact,2011,Asian,506
Male-to-male sexual contact,2011,Black/African American,9431
Male-to-male sexual contact,2011,Hispanic/Latino,6249
Male-to-male sexual contact,2011,White,8039
Male-to-male sexual contact,2012,Asian,554
Male-to-male sexual contact,2012,Black/African American,9347
Male-to-male sexual contact,2012,Hispanic/Latino,6585
Male-to-male sexual contact,2012,White,8017
Male-to-male sexual contact,2013,Asian,562
Male-to-male sexual contact,2013,Black/African American,9298
Male-to-male sexual contact,2013,Hispanic/Latino,6558
Male-to-male sexual contact,2013,White,7719
Male-to-male sexual contact,2014,Asian,679
Male-to-male sexual contact,2014,Black/African American,9817
Male-to-male sexual contact,2014,Hispanic/Latino,7088
Male-to-male sexual contact,2014,White,7630
Male-to-male sexual contact,2015,Asian,689
Male-to-male sexual contact,2015,Black/African American,9980
Male-to-male sexual contact,2015,Hispanic/Latino,7305
Male-to-male sexual contact,2015,White,7239
Male-to-male sexual contact,2016,Asian,718
Male-to-male sexual contact,2016,Black/African American,9839
Male-to-male sexual contact,2016,Hispanic/Latino,7543
Male-to-male sexual contact,2016,White,6940
Male-to-male sexual contact,2017,Asian,742
Male-to-male sexual contact,2017,Black/African American,9640
Male-to-male sexual contact,2017,Hispanic/Latino,7366
Male-to-male sexual contact,2017,White,6737
